OBJECTID,ESTADO,MUNICIPIO,PARROQUIA
1,Distrito Capital,Libertador,Sucre
2,Distrito Capital,Libertador,La Pastora
3,Distrito Capital,Libertador,Altagracia
4,Distrito Capital,Libertador,San Bernardino
5,Distrito Capital,Libertador,El Recreo
6,Miranda,Chacao,Chacao
7,Miranda,Sucre,Leoncio Martnez
8,Miranda,Sucre,Caucagita
9,Miranda,Sucre,Petare
10,Distrito Capital,Libertador,El Junquito
11,Distrito Capital,Libertador,San Jos
12,Distrito Capital,Libertador,La Candelaria
13,Distrito Capital,Libertador,23 de Enero
14,Distrito Capital,Libertador,Catedral
16,Distrito Capital,Libertador,San Juan
17,Distrito Capital,Libertador,Santa Teresa
18,Distrito Capital,Libertador,Santa Rosala
19,Distrito Capital,Libertador,San Agustn
20,Distrito Capital,Libertador,El Paraso
21,Distrito Capital,Libertador,San Pedro
22,Miranda,Sucre,La Dolorita
23,Miranda,Baruta,Baruta
24,Distrito Capital,Libertador,Antmano
25,Miranda,Baruta,El Cafetal
26,Miranda,Baruta,Las Minas de Baruta
27,Distrito Capital,Libertador,La Vega
28,Distrito Capital,Libertador,El Valle
29,Miranda,El Hatillo,El Hatillo
30,Distrito Capital,Libertador,Macarao
31,Miranda,Sucre,Filas de Mariche
32,Distrito Capital,Libertador,Coche
33,Distrito Capital,Libertador,Caricuao
