PARROQUIA,MUNICIPIO,ESTADO
El Vnculo,Falcn,Falcn
Jadacaquiva,Falcn,Falcn
Adcora,Falcn,Falcn
Pueblo Nuevo,Falcn,Falcn
El Hato,Falcn,Falcn
Los Taques,Los Taques,Falcn
Adaure,Falcn,Falcn
Baraived,Falcn,Falcn
Buena Vista,Falcn,Falcn
Moruy,Falcn,Falcn
Alta Guajira,Pez,Zulia
Santa Ana,Carirubana,Falcn
Judibana,Los Taques,Falcn
Punta Cardn,Carirubana,Falcn
Tacuato,Carirubana,Falcn
Norte,Carirubana,Falcn
Carirubana,Carirubana,Falcn
Mitare,Miranda,Falcn
San Gabriel,Miranda,Falcn
Tocopero,Tocopero,Falcn
Puerto Cumarebo,Zamora,Falcn
Pueblo Cumarebo,Zamora,Falcn
La Vela de Coro,Colina,Falcn
Guajira,Pez,Zulia
Pritu,Pritu,Falcn
Santa Ana,Miranda,Falcn
La Cinaga,Zamora,Falcn
La Soledad,Zamora,Falcn
Guaibacoa,Colina,Falcn
San Jos de la Costa,Pritu,Falcn
Las Calderas,Colina,Falcn
San Antonio,Miranda,Falcn
Guzmn Guillermo,Miranda,Falcn
Ro Seco,Miranda,Falcn
Zazrida,Zamora,Falcn
Sabaneta,Miranda,Falcn
La Pastora,Acosta,Falcn
Urumaco,Urumaco,Falcn
Acurgua,Colina,Falcn
Zazrida,Buchivacoa,Falcn
Macoruca,Colina,Falcn
San Francisco,San Francisco,Falcn
Jacura,Jacura,Falcn
Sinamaica,Pez,Zulia
Capatrida,Buchivacoa,Falcn
Carinagua,Petit,Falcn
Colina,Petit,Falcn
Borojo,Buchivacoa,Falcn
Agua Linda,Jacura,Falcn
Antoln del Campo,Antoln del Campo,Nueva Esparta
San Juan de los Cayos,Acosta,Falcn
Capadare,Acosta,Falcn
La Pea,Bolvar,Falcn
Agua Clara,Democracia,Falcn
Cabudare,Petit,Falcn
Elas Snchez Rubio,Pez,Zulia
Matasiete,Gmez,Nueva Esparta
Bruzual,Urumaco,Falcn
Sucre,Gmez,Nueva Esparta
San Luis,Bolvar,Falcn
Marcano,Marcano,Nueva Esparta
Pecaya,Sucre,Falcn
Gmez,Gmez,Nueva Esparta
Pedregal,Democracia,Falcn
Casigua,Mauroa,Falcn
Pennsula de Macanao,Pennsula de Macanao,Nueva Esparta
Sucre,Sucre,Falcn
Guevara,Gmez,Nueva Esparta
Luis de Vicente,Mara,Zulia
Dabajuro,Dabajuro,Falcn
Adrin,Marcano,Nueva Esparta
San Francisco,Pennsula de Macanao,Nueva Esparta
Arismendi,Arismendi,Nueva Esparta
Bolvar,Gmez,Nueva Esparta
Zabala,Daz,Nueva Esparta
Libertador,Acosta,Falcn
Daz,Daz,Nueva Esparta
Aracua,Bolvar,Falcn
Maneiro,Maneiro,Nueva Esparta
El Charal,Unin,Falcn
Cacique Manaure,Cacique Manaure,Falcn
Boca de Tocuyo,Monseor Iturriza,Falcn
Las Parcelas,Mara,Zulia
Aguirre,Maneiro,Nueva Esparta
Tubores,Tubores,Nueva Esparta
Tocuyo de la Costa,Monseor Iturriza,Falcn
Garca,Garca,Nueva Esparta
Saque,Buchivacoa,Falcn
Francisco Fajardo,Garca,Nueva Esparta
Mario,Mario,Nueva Esparta
Araurima,Jacura,Falcn
Chichiriviche,Monseor Iturriza,Falcn
San Flix,Mauroa,Falcn
San Rafael,Mara,Zulia
Los Barales,Tubores,Nueva Esparta
Fara,Miranda,Zulia
Agua Larga,Federacin,Falcn
Fara,Miranda,Zulia
Fara,Miranda,Zulia
Fara,Miranda,Zulia
Santa Cruz de Bucaral,Unin,Falcn
Fara,Miranda,Zulia
Monseor Marcos Sergio Godoy,Mara,Zulia
Fara,Miranda,Zulia
Fara,Miranda,Zulia
Maparari,Federacin,Falcn
Churuguara,Federacin,Falcn
Avaria,Democracia,Falcn
Piedra Grande,Democracia,Falcn
Purureche,Democracia,Falcn
La Sierrita,Mara,Zulia
Tamare,Mara,Zulia
Tucacas,Silva,Falcn
Villalba,Tubores,Nueva Esparta
Las Vegas del Tuy,Unin,Falcn
Ricaurte,Mara,Zulia
Villalba,Villalba,Nueva Esparta
Pauj,Federacin,Falcn
Vicente Fuentes,Villalba,Nueva Esparta
Antonio Jos de Sucre,Arismendi,Sucre
Ana Mara Campos,Miranda,Zulia
Cristbal Coln,Valdz,Sucre
San Jos,Miranda,Zulia
Independencia,Federacin,Falcn
Bariro,Buchivacoa,Falcn
Jos Ramn Ypez,Jess Enrique Lossada,Zulia
Juan de las Galdonas,Arismendi,Sucre
El Morro de Puerto Santo,Arismendi,Sucre
Ro Caribe,Arismendi,Sucre
Altagracia,Miranda,Zulia
San Jos,Jess Enrique Lossada,Zulia
Venancio Pulgar,Maracaibo,Zulia
Idelfonso Vsquez,Maracaibo,Zulia
Marabal,Mario,Sucre
Manuel Monge,Manuel Monge,Yaracuy
Palmasola,Palmasola,Falcn
San Antonio de Irapa,Mario,Sucre
Giria,Valdz,Sucre
Punta de Piedra,Valdz,Sucre
Irapa,Mario,Sucre
Bideau,Valdz,Sucre
Puerto Santo,Arismendi,Sucre
Soro,Mario,Sucre
Libertad,Cajigal,Sucre
Chacopata,Cruz Salmern Acosta,Sucre
Coquivacoa,Maracaibo,Zulia
Siquisique,Urdaneta,Lara
Santa Teresa,Bermdez,Sucre
Bolvar,Bermdez,Sucre
Xaguas,Urdaneta,Lara
Juana de vila,Maracaibo,Zulia
Boca de Aroa,Silva,Falcn
El Paujil,Cajigal,Sucre
Mene Mauroa,Mauroa,Falcn
San Isidro,Maracaibo,Zulia
Antonio Borjas Romero,Maracaibo,Zulia
Santa Catalina,Bermdez,Sucre
Campo Claro,Mario,Sucre
Santa Rosa,Bermdez,Sucre
Macarapana,Bermdez,Sucre
San Jos de Aerocuar,Andrs Mata,Sucre
Caracciolo Parra Prez,Maracaibo,Zulia
Yaguaraparo,Cajigal,Sucre
Mario,Andrs Eloy BLanco,Sucre
San Miguel,Urdaneta,Lara
Moroturo,Urdaneta,Lara
Olegario Villalobos,Maracaibo,Zulia
Cariaco,Ribero,Sucre
Chiquinquir,Maracaibo,Zulia
Araya,Cruz Salmern Acosta,Sucre
Ral Leoni,Maracaibo,Zulia
San Antonio,Miranda,Zulia
Guajiro,Buchivacoa,Falcn
La Concepcin,Jess Enrique Lossada,Zulia
Tunapuicito,Bentez,Sucre
Francisco Eugenio Bustamante,Maracaibo,Zulia
Cacique Mara,Maracaibo,Zulia
Santa Luca,Maracaibo,Zulia
Bolvar,Maracaibo,Zulia
Tunapuy,Libertador,Sucre
El Rincn,Bentez,Sucre
El Pilar,Bentez,Sucre
Campo Elas,Libertador,Sucre
Higuerote,Brin,Miranda
Manicure,Cruz Salmern Acosta,Sucre
Cecilio Acosta,Maracaibo,Zulia
Cristo de Aranza,Maracaibo,Zulia
Bolvar,Bolvar,Yaracuy
El Rosario,Rosario de Perij,Zulia
General Francisco Antonio Vasquez,Bentez,Sucre
Caruao,Vargas,Vargas
Naiguat,Vargas,Vargas
Manuel Dagnino,Maracaibo,Zulia
Luis Hurtado Higuera,Maracaibo,Zulia
Caraballeda,Vargas,Vargas
Pedro Lucas Uribarri,Santa Rita,Zulia
Jos Cenovio Uribarri,Santa Rita,Zulia
Guaranos,Bentez,Sucre
Ral Leoni,Vargas,Vargas
Macuto,Vargas,Vargas
Marcial Hernndez,San Francisco,Zulia
Catia La Mar,Vargas,Vargas
La Guaira,Vargas,Vargas
Maiqueta,Vargas,Vargas
Carlos Soublette,Vargas,Vargas
Albarico,San Felipe,Yaracuy
Francisco Ochoa,San Francisco,Zulia
Tavera Acosta,Andrs Mata,Sucre
Veroes,Veroes,Yaracuy
Mariano Parra Len,Jess Enrique Lossada,Zulia
